DPA_PARROQ,RIESGO_INUNDACION,SCORE
180165.0,Bajo,1.0
180166.0,Bajo,0.76
180168.0,Bajo,0.98
109074.41182682154,Medio,0.89
109074.41182682154,Medio,0.98
109074.41182682154,Medio,0.98
109074.41182682154,Medio,0.99
109074.41182682154,Medio,0.98
180350.0,Bajo,0.8
180450.0,Bajo,1.0
180451.0,Bajo,0.98
180551.0,Medio,0.97
180552.0,Bajo,0.93
180550.0,Medio,1.0
180553.0,Medio,0.95
180650.0,Medio,0.99
180651.0,Medio,0.99
180652.0,Bajo,0.99
180751.0,Bajo,0.98
180752.0,Bajo,0.94
180754.0,Bajo,1.0
180753.0,Medio,0.95
180755.0,Bajo,0.97
180756.0,Medio,0.99
180757.0,Bajo,0.9
180750.0,Bajo,0.99
180758.0,Bajo,0.81
180851.0,Bajo,0.86
180852.0,Medio,0.96
180853.0,Medio,0.89
180850.0,Bajo,0.99
180854.0,Bajo,1.0
180855.0,Bajo,0.98
180856.0,Medio,0.88
180857.0,Bajo,0.97
180951.0,Bajo,0.92
180950.0,Medio,0.94
190151.0,Bajo,0.9
190152.0,Medio,0.84
190153.0,Medio,0.95
190155.0,Bajo,0.94
190158.0,Bajo,0.92
190156.0,Medio,0.9
190150.0,Bajo,0.98
190251.0,Bajo,0.99
190252.0,Bajo,1.0
190254.0,Bajo,1.0
190256.0,Bajo,0.99
190259.0,Medio,0.89
190250.0,Bajo,0.99
190350.0,Medio,0.98
190352.0,Bajo,0.9
190351.0,Alto,0.89
190450.0,Bajo,0.93
190451.0,Medio,0.93
190452.0,Medio,0.96
190551.0,Medio,0.99
190553.0,Medio,0.97
109074.41182682154,Medio,0.92
109074.41182682154,Medio,1.0
190650.0,Alto,0.95
190652.0,Alto,0.94
190653.0,Alto,0.97
190750.0,Medio,0.95
190851.0,Bajo,0.99
190854.0,Bajo,0.95
190850.0,Bajo,0.97
109074.41182682154,Bajo,0.98
190853.0,Bajo,0.98
190951.0,Bajo,0.88
190952.0,Medio,0.98
190950.0,Alto,0.93
200151.0,Bajo,0.98
200152.0,Bajo,0.97
200150.0,Bajo,0.98
200250.0,Bajo,0.99
200251.0,Bajo,0.97
200351.0,Bajo,0.94
200350.0,Medio,0.8
200352.0,Bajo,0.97
210152.0,Alto,0.86
210155.0,Medio,0.78
210153.0,Medio,0.9
210157.0,Medio,0.96
210150.0,Alto,0.78
210156.0,Medio,0.9
109074.41182682154,Medio,0.89
210251.0,Medio,0.9
210252.0,Medio,0.96
210250.0,Medio,1.0
210254.0,Medio,0.95
210351.0,Alto,0.9
210352.0,Medio,0.81
109074.41182682154,Alto,0.98
210353.0,Alto,0.99
210354.0,Alto,0.95
210451.0,Alto,0.97
210452.0,Alto,0.88
210454.0,Alto,0.98
210453.0,Alto,0.99
210450.0,Alto,0.93
210455.0,Alto,0.99
109074.41182682154,Medio,0.97
210550.0,Medio,0.98
210552.0,Medio,0.99
210553.0,Alto,0.91
210554.0,Medio,0.97
210650.0,Medio,1.0
210651.0,Medio,0.57
210652.0,Medio,0.83
210752.0,Alto,1.0
210751.0,Alto,0.91
210750.0,Alto,0.96
220153.0,Medio,0.96
220151.0,Medio,0.9
220154.0,Alto,0.98
220155.0,Alto,0.8
220156.0,Alto,0.97
220157.0,Alto,0.97
220158.0,Medio,0.97
220159.0,Alto,0.75
220150.0,Alto,0.97
220160.0,Medio,0.98
220161.0,Medio,0.94
220152.0,Medio,0.94
109074.41182682154,Alto,0.91
220252.0,Alto,0.79
220250.0,Alto,0.94
220253.0,Alto,0.93
220254.0,Alto,0.91
220255.0,Alto,0.96
220351.0,Alto,0.99
220350.0,Alto,0.99
220355.0,Medio,0.64
220352.0,Alto,0.98
220356.0,Alto,0.97
220353.0,Alto,0.97
220354.0,Alto,0.98
220357.0,Alto,0.97
220358.0,Alto,0.98
220451.0,Alto,0.94
220450.0,Alto,0.93
220452.0,Alto,0.95
220454.0,Medio,0.96
220453.0,Medio,0.85
220455.0,Medio,0.93
109074.41182682154,Medio,1.0
109074.41182682154,Medio,1.0
109074.41182682154,Medio,1.0
109074.41182682154,Medio,0.99
109074.41182682154,Medio,1.0
109074.41182682154,Medio,0.99
109074.41182682154,Bajo,0.97
109074.41182682154,Medio,1.0
240151.0,Medio,0.87
240153.0,Bajo,0.54
240152.0,Bajo,0.92
240154.0,Bajo,0.96
240156.0,Medio,0.86
240150.0,Bajo,0.78
240155.0,Bajo,0.92
109074.41182682154,Bajo,0.74
240351.0,Medio,0.92
